,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
150,OpenHybridSim,phasor,"['java', 'university']",,OpenHybridSim/OpenHybridSim-code,BSD-3,EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16.0,5.0,1.0,8.0,,6,False,,5.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
151,PowerDynData.jl,data,"['julia', 'gha']",,cuihantao/PowerDynData.jl,MIT,Julia package for parsing PSS/E DYR dynamic data files.,https://github.com/cuihantao/PowerDynData.jl,https://github.com/cuihantao/PowerDynData.jl,2025-11-06 03:28:14,2026-03-30 05:41:52.000000,2026-01-04 08:15:15,39.0,1.0,,2.0,4.0,6,True,https://cuihantao.github.io/PowerDynData.jl,1.0,15.0,1.0,2026-01-04 08:13:04.000,0.3.0,2.0,,,,,,,,,,,,,,,3.0,-1.0,,,,,,,,
152,GSEIM,pe,"['pypi', 'python', 'volunteer']",,gseim/gseim,GPL-3,Simulation of electrical circuits.,https://github.com/gseim/gseim,https://github.com/gseim/gseim,2021-06-08 11:11:31,2022-07-16 09:00:00.315000,,,,,2.0,1.0,6,False,https://gseim.github.io/build/html/index.html,,,,,,5.0,,GSEIM,,,8.0,,,https://pypi.org/project/GSEIM,2022-07-16 09:00:00.315,,8.0,,,,1.0,5.0,,,,,,,,
153,PSSE RAW,intf,"['python', 'for-profit']",,anderson-optimization/em-psse,MIT,PSSE RAW parser.,https://github.com/anderson-optimization/em-psse,https://github.com/anderson-optimization/em-psse,2019-02-14 21:15:32,2021-01-07 22:33:21.000000,2020-01-07 18:15:29,19.0,17.0,,39.0,2.0,5,False,,4.0,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
154,Daline,mrl,"['octave', 'university']",,JarvisETHZ/Daline,BSD-3,A Data-driven Power Flow Linearization Toolbox.,https://github.com/JarvisETHZ/Daline,https://github.com/JarvisETHZ/Daline,2024-07-10 03:44:21,2026-01-29 12:30:28.000000,2026-01-29 12:30:27,24.0,,,25.0,1.0,5,True,https://www.shuo.science/daline,1.0,,,2025-04-26 14:47:38.000,1.1.7,3.0,2.0,,,6.0,0.0,,,,,,,,,,3.0,,,,,,,,,
155,US-REGEN,steady-state,['non-profit'],,epri-dev/US-REGEN,BSD-3,"U.S. regional economy, greenhouse gas, and energy model.",https://github.com/epri-dev/US-REGEN,https://esca.epri.com/usregen,2025-05-19 16:46:07,2025-05-27 18:30:39.000000,2025-05-27 18:30:39,13.0,2.0,1.0,21.0,2.0,5,True,https://us-regen-docs.epri.com/,6.0,,,2025-05-19 16:49:12.000,2025.0.0.1,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
156,ASSET,steady-state,"['python', 'lab']",,NatLabRockies/ASSET,BSD-3,Assess and analyze grid strength.,https://github.com/NatLabRockies/ASSET,https://github.com/NatLabRockies/ASSET,2025-04-22 16:07:29,2025-05-05 22:49:47.000000,2025-05-05 22:49:47,18.0,7.0,,19.0,2.0,5,True,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
157,PyPSA-stochUC,steady-state,['python'],,PPGS-Tools/PyPSA-stochUC,MIT,Stochastic unit commitment extension for PyPSA with market and multistage optimization.,https://github.com/PPGS-Tools/PyPSA-stochUC,https://github.com/PPGS-Tools/PyPSA-stochUC,2024-01-22 16:09:09,2024-12-09 13:32:40.000000,2024-12-09 13:31:38,22.0,3.0,1.0,18.0,2.0,5,True,,1.0,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
158,DPLib,steady-state,"['octave', 'university']",,LSU-RAISE-LAB/DPLib,Academic and Research Use Only,MATLAB-based distributed benchmark library and solvers for power system analysis and optimization.,https://github.com/LSU-RAISE-LAB/DPLib,https://github.com/LSU-RAISE-LAB/DPLib,2025-06-09 21:06:44,2026-01-26 17:34:00.000000,2026-01-26 17:33:59,37.0,3.0,,10.0,2.0,5,True,,,,1.0,,,,24.0,,,,,,,,,,,,,,3.0,,,,,,,,,
159,Andes.jl,intf,"['gha', 'julia', 'university']",,cuihantao/Andes.jl,MIT,Julia interface for ANDES.,https://github.com/cuihantao/Andes.jl,https://ltb.curent.org,2020-04-03 21:53:26,2024-02-05 08:03:58.000000,2024-02-05 04:08:07,58.0,1.0,,9.0,,5,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
160,mypower,steady-state,"['python', 'university']",,yasirroni/mypower,MIT,Supplementary function of MATPOWER in Python.,https://github.com/yasirroni/mypower,https://github.com/yasirroni/mypower,2020-03-09 07:23:38,2022-11-26 22:27:49.000000,2022-11-26 22:27:22,39.0,1.0,,8.0,,5,False,,2.0,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
161,OpenDER interface,intf,"['python', 'jupyter', 'non-profit']",,epri-dev/OpenDER_interface,BSD-3,Interface for OpenDER.,https://github.com/epri-dev/OpenDER_interface,https://github.com/epri-dev/OpenDER_interface,2023-11-28 15:57:02,2025-02-10 04:13:30.000000,2025-02-10 04:13:25,47.0,2.0,,6.0,2.0,5,True,,9.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
162,GenSAS,phasor,"['cpp', 'gha', 'lab']",,ANL-CEEESA/gensas,BSD-3,A C++ based generalized simulation tool based on semi-analytical solutions.,https://github.com/ANL-CEEESA/gensas,https://github.com/ANL-CEEESA/gensas,2022-05-26 03:52:10,2026-04-05 03:53:08.000000,2026-04-05 03:53:07,11.0,1.0,,1.0,3.0,5,True,,,10.0,4.0,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,
163,PSAT,phasor,"['octave', 'university']",,Sinan81/PSAT,GPL,Unofficial repository of PSAT by Prof. Federico Milano.,https://github.com/Sinan81/PSAT,http://faraday1.ucd.ie/psat.html,2017-08-14 00:34:41,2023-12-08 10:57:10.000000,2020-06-23 22:43:53,16.0,8.0,,14.0,2.0,4,False,https://www.amazon.com/dp/B08P3QTQDV?ref_=pe_3052080_397514860,5.0,1.0,2.0,2020-02-24 07:44:55.000,2.1.11,2.0,,,,164.0,1.0,,,,,,,,,,3.0,,,,,,,,,
164,andes_gym,mrl,"['python', 'jupyter', 'university']",,cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49.000000,2022-01-28 19:53:49,31.0,6.0,,13.0,2.0,4,False,,1.0,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
165,matmtdc,phasor,"['octave', 'university']",,HuaizhiWang/matmtdc,undefined,Dynamic analysis of AC/DC hybrid power systems.,https://github.com/HuaizhiWang/matmtdc,https://github.com/HuaizhiWang/matmtdc,2021-03-03 12:12:22,2021-05-04 03:35:50.000000,2021-05-04 03:35:50,5.0,6.0,,12.0,,4,False,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
166,AMES (V4.0),steady-state,"['java', 'university']",,ames-market/AMES-v4.0,GPL-2,Agent based Modeling of Electricity Systems.,https://github.com/ames-market/AMES-v4.0,https://www2.econ.iastate.edu/tesfatsi/AMESMarketHome.htm,2017-04-18 18:19:21,2022-12-26 20:28:08.000000,2020-08-28 07:29:40,6.0,7.0,3.0,13.0,2.0,3,False,https://github.com/ames-market/AMES-v4.0/blob/master/USAGE.md,2.0,6.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
167,EasySimauto.jl,intf,"['gha', 'julia', 'university']",,mzy2240/EasySimauto.jl,Apache-2,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20,2023-07-31 19:46:50.000000,2023-07-31 19:46:46,15.0,,,7.0,2.0,3,False,,1.0,,2.0,2022-09-27 15:08:27.000,0.1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
168,PST,phasor,"['octave', 'university']",,cuihantao/pst,MIT,Unofficial repository of PST by Prof. Joe Chow.,https://github.com/cuihantao/pst,https://sites.ecse.rpi.edu/~chowj/,2020-04-11 01:17:35,2020-04-11 01:18:54.000000,2020-04-11 01:18:26,1.0,1.0,,5.0,,3,False,https://github.com/cuihantao/pst/blob/master/PSTv3/PSTMan.pdf,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
169,OpenDSS,steady-state,"['python', 'julia', 'c', 'octave', 'non-profit']",,,BSD,Distribution system simulator.,,https://www.epri.com/pages/sa/opendss,,,,,,,,,2,True,https://opendss.epri.com/opendss_documentation.html,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
